id,code,name,code_old,name_old
activity_924106,9319.0,Otras actividades deportivas,924106,ACTIVIDADES DEPORTIVAS Y OTRAS POR CUENTA PROPIA
activity_924107,9311.0,Gestión de instalaciones deportivas,924107,ESPECTÁCULOS DEPORTIVOS
activity_924901,9329.0,Otras actividades de esparcimiento y recreativas  n.c.p,924901,NIGHT CLUB/CABARETTE
activity_924902,9200.0,Actividades de juego de azar y apuestas,924902,EXPLOTACIÓN DE CASINOS (INCLUYE MESAS DE JUEGOS Y MAQUINAS TRAGAMONEDAS)
activity_924903,9319.0,Otras actividades deportivas,924903,PESCA DEPORTIVA
activity_924904,9329.0,Otras actividades de esparcimiento y recreativas  n.c.p,924904,"ACTIVIDADES DE JUEGOS DE BILLAR, POOL Y OTROS SIMILARES"
activity_924905,9329.0,Otras actividades de esparcimiento y recreativas  n.c.p,924905,SALA DE VIDEO JUEGOS
activity_924906,5920.0,Actividades de grabación y publicación de grabaciones sonoras,924906,"GRABACIÓN DE SONIDO (MUSICA, ETC.) EN DISCOS GRAMOFONICOS YEN CINTA MAGNETOFONIC"
activity_924907,9200.0,Actividades de juego de azar y apuestas,924907,SERVICIO DE ENLACE DE LLAMADAS Y CASAS DE APUESTAS ELECTRONICAS (SPORTBOOKS)
activity_924908,9000.0,"Actividades creativas, artísticas y  de entretenimiento ",924908,ESPECTACULOS PUBLICOS EN GENERAL EXCEPTO LOS DEPORTIVOS Y EL TEATRO
activity_924909,9329.0,Otras actividades de esparcimiento y recreativas  n.c.p,924909,OTRAS ACTIVIDADES DE ESPARCIMIENTO
activity_924910,9200.0,Actividades de juego de azar y apuestas,924910,EXPLOTACIÓN DE JUEGOS DE ÁZAR NO ELECTRÓNICOS (INCLUYE MÁQUINAS TRAGAMONEDAS
activity_930101,9601.0,"Lavado y limpieza, incluida la limpieza en seco, de productos textiles y piel",930101,SERVICIOS DE LAVANDERíA DE TODO TIPO
activity_930102,1313.0,Acabado de productos textiles,930102,SERVICIO DE TEÑIDO DE PRENDAS DE VESTIR
activity_930103,9601.0,"Lavado y limpieza, incluida la limpieza en seco, de productos textiles y piel",930103,SERVICIO DE LIMPIEZA Y LAVADO DE MUEBLES
activity_930202,9602.0,Actividades de peluquería y otros tratamientos de belleza,930202,"SALONES DE BELLEZA, PELUQUERIA Y BARBERIA"
activity_93030,93030,1 SERVICIOS FUNEBRES Y ACTIVIDADES CONEXAS,93030,1 SERVICIOS FUNEBRES Y ACTIVIDADES CONEXAS
activity_930302,9603.0,Funerales y actividades conexas,930302,CEMENTERIO PUBLICO (JUNTA ADMINISTRATIVA)
activity_930303,9603.0,Funerales y actividades conexas,930303,CEMENTERIO O CAMPOSANTO PRIVADO
activity_930901,9609.0,Otras actividades de servicios  personales n.c.p,930901,SALAS DE MASAJES
